[00:22:17] [main/INFO] (LaunchWrapper) SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/home/nicholas/.gradle/caches/modules-2/files-2.1/com.github.PuzzlesHQ/PuzzleLoader/2.3.3/52fb717a1e414575983aa59e0619dcad90182619/PuzzleLoader-2.3.3-client.jar Service=LaunchWrapper Env=CLIENT
[00:22:17] [main/INFO] (Puzzle | ModLocator) Discovered CosmicTooltipsMod "DevMod" with ID "cosmic_tooltips"
[00:22:17] [main/WARN] (Puzzle | ModLocator) Warning! Only partial semantic versioning support
[00:22:17] [main/INFO] (Puzzle | ModLocator) Mod deps for puzzle-loader
[00:22:17] [main/INFO] (Puzzle | ModLocator) 	cosmic-reach: (0.3.26,true)
[00:22:17] [main/INFO] (Puzzle | ModLocator) Mod deps for cosmic_tooltips
[00:22:17] [main/INFO] (Puzzle | ModLocator) 	puzzle-loader: (>=2.2.7,true)
[00:22:17] [main/INFO] (Puzzle | ModLocator) 	cosmic-reach: (>=0.3.21,true)
[00:22:17] [main/INFO] (LaunchWrapper) Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.4.1).
[00:22:17] [main/INFO] (Puzzle | Loader) Launching Cosmic Reach version 0.3.26
[00:22:17] [Thread-0/INFO] (CosmicReach | Account) No account found, playing in offline mode!
[00:22:17] [Thread-0/INFO] (CosmicReach | Account) Account: [34moffline_id:9202528104487112365[37m, Username: [34moffline:localPlayer[37m, Display name: [34mPlayer[37m
[00:22:18] [main/INFO] (Puzzle | AssetLoader) Loading [33m"textures/special/white-1x1.png"[37m from Cosmic Reach
[00:22:18] [main/INFO] (Puzzle | AssetLoader) Loading [33m"textures/special/black-1x1.png"[37m from Cosmic Reach
[00:22:18] [main/INFO] (Puzzle | AssetLoader) Loading [33m"shaders/chunk.vert.glsl"[37m from Cosmic Reach
[00:22:18] [main/INFO] (Puzzle | AssetLoader) Loading [33m"shaders/common/bitUnpacker.glsl"[37m from Cosmic Reach
[00:22:18] [main/INFO] (Puzzle | AssetLoader) Loading [33m"shaders/chunk.frag.glsl"[37m from Cosmic Reach
[00:22:18] [main/INFO] (Puzzle | AssetLoader) Loading [33m"shaders/common/fog.glsl"[37m from Cosmic Reach
